root;features;query_products_count;first_product_decada_profit;ten_product_decada_profit;products_with_sales;avg_price_prev_period;avg_price_period;profit_prev_period;profit_period;sellers;sellers_with_sales;sales_period
платок;женский,носовой;158;1265530;74976;95;351;383;272548;4201571;31;26;6902
набор;мужской,носовой,подарочный;10;305320;0;5;428;412;5088;279111;2;1;908
платочки;бумажный,носовой;26;88320;1149;13;247;270;25519;113217;11;5;586
набор;детский,носовой;56;90720;4408;36;285;305;94002;354918;14;11;1014
платок;детский,носовой;190;44352;46332;106;270;335;307818;875915;48;32;2447
штука;носовой;23;77350;6370;15;311;552;111332;276154;7;4;610
платок;детский,женский,мужской,носовой;27;60164;13050;21;318;377;131794;322365;6;4;734
перчатка;длинный,женский,прозрачный,свадебный;13;892272;15312;12;574;588;728838;1541025;5;4;2409
перчатка;женский,сенсорный,шерстяной;82;357136;13608;35;564;590;118675;573641;14;8;1817
перчатка;женский,зимний,мужской,сенсорный,тёплый;18;266848;4500;16;346;434;216928;730793;5;5;1603
перчатка;горнолыжный,зимний,тактический;11;1284706;0;7;770;1061;755994;1153359;6;5;772
платок;женский,кашемировый,тёплый;78;17836200;895;12;199;322;4528;18380358;18;3;15930
шарф;женский,кашемировый,тёплый;203;5432220;15792;79;465;515;452852;6103783;38;20;7225
палантин;женский,леопардовый;12;4722948;0;1;341;360;3063;4722948;7;1;4068
подарок;женский,зимний;131;1796492;14134;65;672;854;717551;2448706;30;14;2523
снуд;зимний,спортивный,флисовый;51;1266356;83692;33;334;622;1653277;2928007;18;13;4273
унисекс;мужской,тёплый;29;632100;16200;14;389;434;397081;1336852;9;5;2066
снуд;зимний,мужской,флисовый;88;403650;70485;46;241;424;2090371;2465486;26;17;4074
бафф;мужской,спортивный;12;302040;0;7;102;76;104476;13059;5;3;28
снуд;зимний,мужской,спортивный,флисовый;41;508614;55620;26;276;545;1133164;1788362;14;10;2577
осень;женский,мужской;45;361845;3438;16;770;665;333773;478457;9;6;827
палантин;длинный,женский,тёплый;85;358337;74802;53;427;615;1343366;2122497;20;10;3026
шарф;-,белый,черно;14;886875;23925;12;595;1427;1369875;1155642;6;4;583
шарф;женский,объёмный,тёплый;175;700854;119952;96;627;1071;1451904;4488862;25;14;3050
шарф;женский,шерстяной;215;260400;17400;80;499;694;764659;1423759;41;19;1572
подарок;женский,шерстяной;22;330863;0;7;173;367;3325;340993;3;2;415
ремень;женский,чёрный;288;584865;180614;150;506;533;986771;3783254;83;44;8181
ремень;женский,кожаный,чёрный,широкий;53;478185;14878;43;414;422;293998;1064872;10;7;3329
ремень;женский,модный;40;265375;0;8;269;281;106598;404546;15;4;1400
ремень;мужской,натуральный,чёрный;112;751686;109143;64;711;729;939814;1838205;50;31;2169
пояс;собачий;76;323304;27390;33;259;284;482301;1042291;38;14;2091
пояс;лечебный;116;39653840;22680;47;271;284;469283;40442001;46;16;76626
ремень;натуральный,подарочный,широкий;17;589064;699;10;301;558;24192;1021506;4;3;1254
эротик;женский;263;998001;58671;105;492;520;1653990;779745;64;32;1295
ремень;женский,кожаный,натуральный;94;2388180;2385000;38;900;915;105298;35963446;23;10;45136
ремень;женский,кожаный,съёмный,широкий;35;2387385;2136000;35;777;782;13777;78214873;1;1;104002
ремень;женский,кожаный,короткий,съёмный,широкий;18;2137424;2136000;18;733;739;11392;37665898;1;1;52997
ремень;кожаный,съёмный;89;2387385;2385000;67;863;899;90779;106895151;11;9;140069
сумка;женский,модный,стильный;68;1361844;4536;13;1096;1311;2272366;311012;23;8;116
клатч;женский,маленький;268;400500;187812;122;1166;1209;1275125;3219411;92;51;2850
клатч;женский,повседневный;44;392312;11880;25;1087;1161;238102;667989;14;8;529
клатч;женский,чёрный;92;201480;39270;40;1917;2046;407466;1649838;51;24;1173
клатч;вечерний,женский,модный;46;400500;28080;34;1309;1336;244062;1208043;10;6;1103
сумка;вечерний,женский,чёрный;16;100098;0;9;914;1231;36671;130176;11;6;214
клатч;вечерний,женский,чёрный;33;245808;2520;14;895;957;89989;569978;16;7;353
органайзер;женский,маленький;62;250200;14976;33;363;379;415988;593326;20;12;1816
косметичка;больший,дорожный,женский,подвесной;19;232156;2618;19;466;470;346080;604398;3;3;1333
косметичка;больший,дорожный,женский;293;232156;150955;183;477;539;1392000;1876188;64;46;3373
косметичка;женский,мужской,прозрачный;25;53148;1645;15;157;140;110374;107952;8;3;614
несессер;армейский,дорожный,женский,мужской;13;134358;1508;12;414;409;104544;374295;4;3;837
косметичка;дорожный,портативный;12;122589;0;4;866;898;37656;240456;3;2;503
несессер;дорожный;265;134358;34452;145;1162;1234;967425;1428573;67;46;2020
несессер;дорожный,мужской;92;134358;22393;64;649;783;476250;870645;20;14;1465
органайзер;семейный;94;2060226;1980;28;773;774;2937626;380664;28;15;769
мм;синий;158;5386895;249312;38;141;135;7547835;3071866;32;14;6485
папка;пластиковый;271;666816;184908;136;637;652;3808913;5704190;31;18;9271
папка;деловой;131;676830;223120;61;2838;2908;1589791;3680090;26;11;1995
папка;чёрный;74;8429520;45960;27;1281;1951;14051267;1898670;27;16;5127
портфель;выдвижной;19;306621;0;5;193;631;188858;428638;1;1;811
кожзам;чёрный;28;1293075;0;9;3959;4298;1424912;2932586;4;1;663
портфель;пластиковый;60;208800;7480;23;586;638;227370;297792;9;6;492
рюкзак;женский,наружный;20;137664;0;3;852;959;406036;141222;3;1;147
портфель;мужской,повседневный;23;327810;2880;14;2924;2865;18571;682527;6;3;226
подрост;женский,мужской,школьный;26;235800;0;3;1010;766;650;238230;11;3;102
рюкзак;городской,женский,мужской,школьный;272;17845800;71337;117;1020;1115;1645265;19997517;96;48;11404
рюкзак;большой,городской,женский,спортивный;15;3262500;5550;12;1207;1271;103729;3388053;10;9;2582
рюкзак;мужской,спортивный,туристический;142;4850140;56848;63;1737;2093;1013951;1694211;40;20;556
рюкзак;женский,мужской,чёрный,школьный;167;858850;35772;68;1069;1038;899045;1743507;46;24;1598
рюкзак;городской,женский,спортивный,туристический;144;1425624;70756;77;989;1287;1654051;3230006;24;14;1926
сумка;детский,женский,мужской,школьный;17;718290;9348;12;1603;1858;833495;1600761;5;2;801
рюкзак;городской,модный,чёрный,школьный;15;655707;0;5;1351;1653;613347;635738;8;4;349
рюкзак;повседневный,спортивный,школьный;30;272412;846;12;586;606;534861;194835;10;4;196
рюкзак;городской,женский,мужской,спортивный,школьный;114;219456;17867;62;967;1121;787289;948723;44;23;790
рюкзак;городской,женский,туристический;177;1425624;87514;103;1077;1388;2045215;4182016;27;16;2442
сумка;багет,женский;291;7906761;296310;161;990;1195;4722310;13727066;80;45;7961
сумка;женский,кожаный,натуральный,поясной;32;8240232;0;4;360;441;10976;21960232;1;1;8003
багет;женский,кожаный;47;1317600;12888;29;1877;2100;1620313;1943138;21;14;1600
сумка;синий;131;752492;4346;16;1130;1852;31004;827745;57;14;1032
рюкзак;серый;87;642000;755;13;1269;1353;340050;893172;37;11;617
шопер;женский,стёганый;22;1201082;29194;16;690;771;712152;1448427;4;3;2204
вельветовый;вельветовый,женский,маленький,мужской;10;644670;0;8;345;471;293041;604961;2;2;1237
сумка;женский,зимний;43;1142100;10212;15;599;1254;1192207;191473;13;6;177
шоппер;чёрный;227;249018;340572;114;628;845;1377848;3363542;90;45;3758
шоппер;женский,хозяйственный;143;536367;23400;70;445;443;430739;911096;48;25;1240
сумка;багет,женский,маленький;122;421508;208361;91;932;1163;3905932;4491439;22;16;3743
сумка;хлопковый,чёрный;11;166617;0;6;346;324;44903;193952;3;1;481
сумка;болоньевая,женский;45;230508;1108;18;811;959;169452;318339;20;12;384
тележка;складный;52;19980005;63288;30;2900;2648;157586;20505659;25;18;10162
сумка;больший,хозяйственный;88;51912;39312;34;694;742;226943;581390;28;12;455
час;женский,мужской,наручный;227;9200000;6507396;64;1171;1150;883607;75666756;51;16;51906
час;механический,мужской,наручный;133;321320643;122840;74;2372;2360;151237762;248944641;34;19;54994
ремешок;вотч,умный;12;390000;0;2;262;58;2477;830000;4;2;2500
смарт;умный,электронный;81;4871777;56490;34;1746;1932;962577;6965560;24;14;1919
час;классический,мужской;120;4985000;50144;60;1059;1166;661808;6339418;28;16;1609
час;водонепроницаемый,мужской,наручный;97;866520;22932;61;955;1158;811514;2202581;27;17;1982
час;детский,наручный,электронный;162;806760;3510;79;362;343;74142;1559422;26;16;2339
час;мужской,наручный,электронный;210;6527388;14476;98;603;631;362574;8961995;44;23;6284
ремешок;кожаный,умный;33;487900;2634;12;1085;1148;44395;632382;8;3;758
час;наручный,спортивный,электронный;121;292820;3060;40;447;456;49831;453968;19;8;878
чемодан;красный;11;39658500;0;2;13256;15307;14498559;37197308;4;2;3283
чемодан;малый;31;20397960;7329;16;4690;4101;11796832;44073907;7;4;7414
бирка;багажный;151;1075670;2940;53;311;327;2340638;3593649;37;12;7357
замок;кодовый,навесной;65;297407;3228;31;367;343;683600;768247;24;6;2900
замок;багажный;206;1178950;35595;62;436;423;1289121;2286265;50;23;3273
плёнка;стрейч;123;959934;7605;42;485;440;647040;852368;60;23;800
плёнка;упаковочный;188;1355610;48573;82;116;896;186305;13983369;61;23;5732
замок;кодовый;167;297407;4800;65;845;980;725901;1735807;59;19;4036
чемодан;чёрный;32;3006000;0;7;8029;8592;26836;3083897;11;5;514
чемодан;дорожный,пластиковый;52;1541925;4032;19;2956;4488;369954;2407618;6;5;802
чемодан;детский;195;1902600;38094;102;2786;2983;568883;3210087;36;24;892
сабвуфер;автомобильный;186;262140000;9903;26;2483;3921;51819;540670;44;16;95
регистратор;автомобильный;72;5453260;19191;15;2566;1894;1131232;8365724;31;11;3290
видеорегистратор;автомобильный,сенсорный;14;2604342;0;9;2174;2294;280394;2775477;12;7;1213
видеорегистратор;автомобильный,задний;91;1441576;41162;26;1972;1986;1748831;2710752;46;18;1162
устройство;автомобильный,быстрый,зарядный;78;210834;1900;24;295;320;143169;304515;29;7;875
зеркало;задний;207;708078;26991;24;1344;1336;203608;1289163;106;15;619
наушник;беспроводный,сенсорный;109;122893125;31850;30;878;903;249145;89936068;60;24;66129
наушник;вакуумный;179;11484800;144313;57;319;392;7502611;21344114;70;33;56511
redmi;беспроводный;31;15900360;0;9;1565;1267;41323;16640332;4;2;19045
